Father,Mother,Gender,Kids,Height
70,65,F,19,63
70,65,M,20,79
70,65,M,21,75
70,65,M,22,71
70,65,F,23,69
70,65,F,24,67
70,65,F,25,65.7
70,65,F,26,62
70,65,M,27,73
70,65,M,28,72.5
70,65,F,29,65
70,65,M,30,69
70,65,M,31,69
70,64.7,M,1,72
70,64.7,M,2,70
70,64.7,M,3,68.7
70,64.7,F,4,66.5
70,64.7,F,5,65.5
70,64.7,F,6,64.7
70,64.7,F,7,64.5
70,64,M,1,70.7
70,64,M,2,70
70,64,M,3,68
70,64,M,4,67
70,64,M,5,66
70,64,M,6,65
70,64,F,7,67
70,64,M,8,70
70,64,M,9,68
70,64,M,10,66.7
70,64,F,11,65.5
70,64.2,M,1,72
70,64.2,M,2,70
70,64.2,F,3,62.5
70,64.2,F,4,61.2
70,64.2,F,5,60.1
70.5,64,M,1,74
70.5,64,M,2,69.5
70.5,64,M,3,69
70.5,64,M,4,68
70.5,64,M,5,68
70.5,64,M,6,68
70.5,64,F,7,65.5
70.5,64,F,8,65
70.5,64.5,F,1,60
70,64,M,1,68
70,64,F,2,65
70,64,F,3,64
70,64,F,4,62
70,64,M,5,71
70,64,M,6,70
70,64,M,7,70
70,64,M,8,70
70,64,M,9,69.5
70,64,M,10,68.5
70,64,F,11,69
70,64,F,12,65
70,64,F,13,64
70,63.7,M,1,70
70,63.7,M,2,67
70,63.7,M,3,65.5
70,63.7,F,4,63.7
70,63.7,F,5,63.2
70,63.7,F,6,62.5
70,63.7,F,7,62.2
70,63.7,F,8,61
70.5,63,M,1,72.5
70.5,63,M,2,69
70.5,63,M,3,67
70.5,63,F,4,64.5
70.5,63,F,5,64
70,63.5,M,1,71
70,63.5,M,2,67.5
70,63.5,F,3,67.5
70,63.5,F,4,63.5
70,63,M,1,68
70,63,M,2,67
70,63,F,3,63.7
70,63,F,4,62
70,63,M,5,70
70,63,M,6,66.5
70,63,F,7,62
70,63,F,8,61
70.5,62,M,1,72
70.5,62,M,2,70
70.5,62,M,3,69.5
70.5,62,M,4,69.5
70.5,62,M,5,68
70.5,62,F,6,65
70.5,62,F,7,64
70.5,62,F,8,63
70.3,62.7,M,1,70.7
70.3,62.7,M,2,69.7
70.3,62.7,M,3,69.2
70.3,62.7,M,4,65.2
70.3,62.7,F,5,64
70.3,62.7,F,6,63.5
70.3,62.7,F,7,63.2
70.5,62,M,1,72
70.5,62,M,2,72
70.5,62,F,3,60
70,61,M,1,71.2
70,61,M,2,67
70,60,M,1,67
70,60,M,2,64.5
70,60,F,3,65
70,60,F,4,63
70,60,F,5,65
70,60,F,6,65
70,58.5,M,1,71.5
70,58.5,M,2,64.5
70,58.5,F,3,63
70,58,M,1,72
70,58,M,2,66
70,58,F,3,66
70,58,F,4,65
70,58,F,5,63
69,68.5,M,1,75
69,68.5,M,2,71
69,68.5,M,3,70
69,68.5,F,4,66
69,68.5,F,5,66
69,68.5,F,6,65.5
69,68.5,F,7,65
69,68.5,F,8,65
69,68.5,F,9,64
69,68.5,F,10,64
69,67,F,1,64
69,66,M,1,73
69,66,M,2,72
69,66,M,3,71.7
69,66,M,4,71.5
69,66,F,5,65.5
69,66,F,6,65
69,66,F,7,62.7
69,66,F,8,62.5
69,66,M,9,71.2
69,66,M,10,71
69,66,M,11,70
69,66.7,M,1,75
69,66.7,M,2,74
69,66.7,M,3,72
69,66.7,M,4,68.5
69,66.7,M,5,67
69,66.7,M,6,66
69,66,M,1,70
69,66,M,2,68.5
69,66,M,3,68
69,66,F,4,65
69,66,F,5,63
69,66,F,6,62.5
69,66.5,M,1,73
69,66.5,M,2,71
69,66.5,M,3,70.5
69,66.5,M,4,70.5
69,66.5,F,5,61
69.5,66.5,M,1,70.5
69.5,66.5,M,2,67.5
69.5,66.5,F,3,64.5
69.5,66.5,F,4,64
69,66.5,M,1,71
69,66.5,F,2,68.5
69,66.5,F,3,67.5
69,66.5,F,4,66
69,66.5,F,5,63
69,66.5,F,6,63
69.5,66,M,1,71
69.5,66,M,2,71
69.5,66,M,3,70.5
69.5,66,M,4,70.5
69.5,66,F,5,66.5
69.5,66,F,6,65.5
69.5,66,F,7,64.5
69,66,M,1,73
69,66,M,2,72
69,66,M,3,69
69,66,M,4,69
69,66,F,5,66.5
69,66,F,6,65.5
69,66,F,7,65.5
69,66,F,8,65
69,66,F,9,64
69,65,M,1,70
69,65,M,2,68.5
69,65,M,3,67
69,65,F,4,65
69,65,F,5,64
69,65,F,6,63.5
69,65,F,7,61
69.5,64.5,M,1,69.7
69.5,64.5,M,2,68
69.5,64.5,M,3,60
69.5,64.5,F,4,65.2
69.5,64.5,F,5,64.5
69.5,64.5,F,6,63.7
69.5,64.5,F,7,60
69.2,64,M,1,71.7
69.2,64,M,2,66.5
69.2,64,F,3,65
69.2,64,F,4,63.5
69,63,M,1,69
69,63,F,2,67.5
69,63,F,3,63.5
69,63,M,4,72
69,63,M,5,73
69,63,M,6,70
69,63,M,7,70
69,63,M,8,64
69,63,F,9,66
69,63,F,10,62
69,63.5,M,1,70.5
69,63.5,M,2,67
69,63.5,M,3,66
69,63.5,F,4,65
69,63.5,F,5,63
69,63.5,F,6,62
69,63.5,F,7,61
69,63.5,M,8,70.5
69,63.5,F,9,63.7
69,63.5,F,10,63
69.7,62,F,1,62.5
69.5,62,M,1,73
69.5,62,M,2,72
69.5,62,M,3,69
69,62,M,1,73
69,62,M,2,71
69,62,M,3,71
69,62,M,4,69
69,62,F,5,63
69,62.5,M,1,71
69,62.5,M,2,70
69,62.5,M,3,70
69,62.5,M,4,69
69,62.5,F,5,63.5
69,62.5,F,6,62.5
69,62.5,F,7,62.5
69,62.5,F,8,62
69,62,M,1,72
69,62,M,2,68
69,62,F,3,66
69,62,F,4,66
69.5,61,M,1,70
69.5,61,M,2,69.5
69.5,61,M,3,69
69.5,61,F,4,63
69.5,61,F,5,62
69,61,M,1,68
69,61,M,2,68
69,61,M,3,67.5
69,61,M,4,64
69,61,M,5,63
69,61,M,6,63
69,61,F,7,63.5
69,61,F,8,62
69,61,F,9,62
69,60,M,1,70.5
69,60,F,2,68
69,60,F,3,62.5
69,60,M,4,69
69,60,M,5,66
69,60,F,6,61.7
69,60,F,7,60.5
69,60.5,M,1,69.5
68.7,70.5,M,1,71
68.7,70.5,F,2,61.7
68.5,67,M,1,73
68.5,67,M,2,71
68.5,67,F,3,67
68.5,66.5,M,1,70
68.5,66.5,M,2,69
68.5,66.5,M,3,69
68.5,66.5,M,4,68.7
68.5,66.5,M,5,68.5
68.5,66.5,M,6,68.5
68.5,66.5,M,7,68
68.5,66.5,M,8,68
68.5,66.5,M,9,68
68.5,66.5,F,10,63.2
68,65,M,1,67.5
68,65,M,2,66
68,65.5,M,1,66
68,65.5,F,2,64
68,65.5,M,3,71.7
68,65.5,M,4,71.5
68,65.5,M,5,70.7
68,65.5,M,6,65.5
68,65.5,F,7,66.5
68,65.5,F,8,65.2
68,65.5,F,9,61.5
68,65,M,1,72
68,65,M,2,72
68,65,F,3,68
68,65,F,4,66
68.5,65,M,1,69.2
68.5,65,M,2,68
68.5,65,M,3,66
68.5,65,M,4,66
68.5,65,F,5,62
68.5,65,F,6,61.5
68.5,65,F,7,61
68.5,65,F,8,60
68,64,M,1,71
68,64,M,2,68
68,64,M,3,68
68,64,M,4,67
68,64,F,5,65
68,64,F,6,64
68,64,F,7,63
68,64,F,8,63
68,64,F,9,62
68,64,F,10,61
68,64,M,11,66
68,64,M,12,63
68,64,F,13,65.5
68,64,F,14,62
68,64,M,15,71.2
68,64,M,16,71.2
68,64,M,17,69
68,64,M,18,68.5
68,64,F,19,62.5
68,64.5,F,1,62
68,64,M,1,69
68,64,M,2,67
68,64,M,3,66
68,64,F,4,66
68,64,F,5,66
68,64,F,6,65
68,64,F,7,65
68,64,F,8,65
68,64,F,9,64
68,64,F,10,63
68,63,M,1,70.5
68,63,M,2,70
68,63,M,3,68
68,63,M,4,66
68,63,M,5,66
68,63,F,6,66
68,63,F,7,62
68,63,F,8,61.5
68.5,63.5,M,1,73.5
68.5,63.5,M,2,70
68.5,63.5,M,3,69.5
68.5,63.5,F,4,65.5
68,63,M,1,67
68,63,M,2,70
68,63,M,3,68
68,63,F,4,64.5
68,63,F,5,64
68,63,M,6,71
68,63,M,7,68
68,63,M,8,66
68,63,M,9,65.5
68,63,M,10,65
68,63,F,11,63
68,63,F,12,62
68,63,F,13,62
68,63,M,14,67
68,63,M,15,67
68,63,M,16,66
68,63,F,17,64
68,63,F,18,63.5
68,63,F,19,61
68.5,63.5,M,1,68.2
68,63,M,1,70
68.2,63.5,M,1,70
68.2,63.5,M,2,69
68.2,63.5,M,3,67
68.2,63.5,M,4,65.5
68.2,63.5,F,5,64.5
68,62.5,M,1,68.5
68.7,62,M,1,67.7
68.7,62,F,2,61.7
68,62.5,M,1,66.5
68,61,M,1,68.5
68,61,M,2,68
68,61,M,3,64
68,61,F,4,63.5
68,61,F,5,63
68,60.2,M,1,66.7
68,60,M,1,64
68,60,F,2,61
68,60,F,3,61
68,60,F,4,60
68,60,F,5,60
68,60,F,6,60
68,60,F,7,56
68,60,M,8,67.5
68,60,M,9,67
68,60,M,10,66.5
68,60,F,11,60
68.5,59,M,1,69
68,59,M,1,68
68,59,M,2,65
68,59,M,3,64.7
68,59,M,4,64
68,59,M,5,64
68,59,M,6,63
68,59,F,7,65
68,59,F,8,65
68,59,F,9,62
68,59,F,10,61
67,66.2,M,1,72.7
67,66.2,M,2,72.7
67,66.2,M,3,71.5
67,66.2,F,4,65.5
67,66.2,F,5,63.5
67,66.5,M,1,71
67,65,M,1,69.7
67,65,M,2,67.5
67,65,F,3,65.5
67,65,F,4,65
67,65,F,5,64.5
67,65,F,6,63.5
67,65.5,M,1,70
67,65.5,M,2,69
67,65.5,F,3,65.5
67,65.5,F,4,65.5
67,65.5,F,5,63
67,65.5,M,6,70
67,65.5,M,7,67.7
67,65.5,F,8,63
67,65.5,F,9,60
67,65,M,1,65
67,65,F,2,62
67,65,F,3,62
67.5,65,M,1,71
67.5,65,M,2,69
67.5,65,F,3,64
67.5,65,F,4,64
67.5,65,F,5,63
67.5,65,F,6,63
67.5,65,F,7,63
67.5,65,F,8,63
67.5,65,F,9,63
67.5,65,F,10,62.5
67.5,65,F,11,62
67,64,M,1,71.5
67,64,M,2,70
67,64,M,3,67
67,64,M,4,67
67,63.5,M,1,71
67,63.5,M,2,70.2
67,63.5,M,3,69.2
67,63.5,M,4,68.5
67,63.5,M,5,68
67,63.5,M,6,67
67,63.5,M,7,65.5
67,63.5,F,8,63.5
67,63,M,1,69
67,63,M,2,68
67,63,F,3,63
67.5,62,M,1,70
67.5,62,M,2,69.5
67.5,62,M,3,69
67.5,62,M,4,68.5
67.5,62,F,5,66
67,61,M,1,67
66,67,M,1,70.5
66,67,M,2,70.5
66,67,M,3,67
66,67,M,4,66
66,67,M,5,66
66,67,F,6,62
66,67,F,7,62
66,67,F,8,61.5
66,67,M,9,72
66,67,M,10,65
66,67,M,11,65
66,67,F,12,67
66,67,F,13,64
66,67,F,14,64
66,67,F,15,62
66,67,F,16,60
66,67,F,17,60
66,66,M,1,66
66,66,M,2,65
66,66,F,3,67
66,66,F,4,66.5
66,66,F,5,65.5
66,66,M,6,72
66,66,M,7,68
66,66,F,8,66
66,66,F,9,65
66,66,F,10,62
66,66,F,11,61
66.5,65,M,1,68.7
66.5,65,M,2,68.5
66.5,65,M,3,66.5
66.5,65,M,4,64.5
66.5,65,F,5,62.5
66.5,65,F,6,60.5
66.5,65,F,7,60.5
66.5,65,F,8,57.5
66,65.5,M,1,72
66,65.5,M,2,71
66,65.5,M,3,67
66,65.5,F,4,66
66,65.5,F,5,65
66,63,M,1,70
66,63.5,F,1,64.5
66,63.5,F,2,62
66.5,63,M,1,67.2
66.5,63,M,2,67
66.5,63,M,3,65
66.5,63,F,4,65
66.5,63,F,5,65
66.5,63,F,6,63
66.5,62.5,M,1,70
66.5,62.5,M,2,68
66.5,62.5,F,3,63.5
66.5,62.5,F,4,62.5
66.5,62.5,F,5,62.5
66.5,62.5,F,6,62.5
66.5,62.5,F,7,62.5
66,61.5,M,1,70
66,60,M,1,68
66,60,M,2,67
66,60,M,3,65
66,60,F,4,60
66,60,M,5,65
66,59,M,1,68
66,59,M,2,67
66,59,M,3,66.5
66,59,M,4,66
66,59,M,5,65.7
66,59,M,6,65.5
66,59,M,7,65
66,59,F,8,65
66,59,F,9,64
66,59,F,10,63
66,59,F,11,62
66,59,F,12,61
66,59,F,13,60
66,59,F,14,58
66,59,F,15,57
65,67,M,1,66.5
65,67,M,2,66
65,67,M,3,66
65,67,F,4,65
65,67,F,5,63
65,66,M,1,63
65,66,F,2,63
65,66,F,3,63
65,66,F,4,60
65,65,M,1,69
65,65,M,2,68
65,65,M,3,68
65,65,F,4,65
65,65,F,5,65
65,65,F,6,62
65,65,F,7,62
65,65,F,8,61
65,65,F,9,59
65,65.5,M,1,70.7
65,65.5,F,2,65.5
65,65,M,1,69.2
65,65,M,2,69
65,65,M,3,68
65,65,M,4,67.7
65,65,F,5,64.5
65,65,F,6,60.5
65,64,M,1,67
65,64,M,2,67
65,64,F,3,64
65,64,F,4,64
65,64,F,5,62.5
65,64,F,6,60.5
65,63,M,1,70
65,63,F,2,63
65,63,M,3,66
65,63,M,4,66
65,63,F,5,63
65.5,63,M,1,71
65.5,63,M,2,71
65.5,63,M,3,69
65.5,63,F,4,63.5
65.5,60,M,1,68
65.5,60,M,2,68
65.5,60,M,3,67
65.5,60,M,4,67
65.5,60,F,5,62
64,64,M,1,71.5
64,64,M,2,68
64,64,F,3,65.5
64,64,F,4,64
64,64,F,5,62
64,64,F,6,62
64,64,F,7,61
64,64,M,8,70.5
64,64,M,9,68
64,64,F,10,67
64,64,F,11,65
64,64,F,12,64
64,64,F,13,64
64,64,F,14,60
64,63,M,1,64.5
64,60,M,1,66
64,60,F,2,60
62,66,M,1,64
62,66,F,2,62
62,66,F,3,61
62.5,63,M,1,66.5
62.5,63,F,2,57
68.5,65,M,1,72
68.5,65,M,2,70.5
68.5,65,M,3,68.7
68.5,65,M,4,68.5
68.5,65,M,5,67.7
68.5,65,F,6,64
68.5,65,F,7,63.5
68.5,65,F,8,63
0,0,F,1,0
100,100,M,1,100
