STT,Father,Mother,Gender,Height,Kids
159,71.5,65.5,M,73,2
160,71.5,65.5,F,65.2,2
161,71.5,65,M,68.5,2
162,71.5,65,M,67.7,2
163,71,65,M,68,3
164,71,65,M,68,3
165,71,65,F,62,3
166,71,64,F,68,8
167,71,64,F,68,8
168,71,64,F,67.5,8
169,71,64,F,66.5,8
170,71,64,F,66.5,8
171,71,64,F,66,8
172,71,64,F,65.5,8
173,71,64,F,65,8
174,71.7,64.5,M,72,4
175,71.7,64.5,M,71,4
176,71.7,64.5,M,70.5,4
177,71.7,64.5,F,67,4
178,71,64,M,68,3
179,71,64,M,68,3
180,71,64,M,68,3
181,71.5,64.5,M,72,7
182,71.5,64.5,M,71,7
183,71.5,64.5,M,70,7
184,71.5,64.5,F,66,7
185,71.5,64.5,F,64.5,7
186,71.5,64.5,F,64.5,7
187,71.5,64.5,F,62,7
188,71.2,63,F,67.5,2
189,71.2,63,F,64.5,2
190,71,63.5,M,71,5
191,71,63.5,M,67,5
192,71,63.5,F,66,5
193,71,63.5,F,65,5
194,71,63.5,F,63.5,5
195,71,63,M,71,9
196,71,63,M,70,9
197,71,63,M,70,9
198,71,63,M,64,9
199,71,63,F,65,9
200,71,63,F,65,9
201,71,63,F,64,9
202,71,63,F,63,9
203,71,63,F,63,9
204,71,63,M,71,4
205,71,63,M,71,4
206,71,63,M,70,4
207,71,63,F,63.5,4
208,71,62,M,71,5
209,71,62,M,70,5
210,71,62,F,64.5,5
211,71,62,F,62.5,5
212,71,62,F,61.5,5
213,71,62,M,72,5
214,71,62,M,70.5,5
215,71,62,M,70.5,5
216,71,62,F,64.5,5
217,71,62,F,60,5
218,71,62.5,M,70,5
219,71,62.5,F,64,5
220,71,62.5,F,64,5
221,71,62.5,F,64,5
222,71,62.5,F,62.5,5
223,71,62,M,70.5,7
224,71,62,M,70,7
225,71,62,M,69,7
226,71,62,M,69,7
227,71,62,M,66,7
228,71,62,F,64.5,7
229,71,62,F,64,7
230,71,61,F,62,1
231,71,58,M,71.5,2
232,71,58,M,69,2
233,70,69,M,71,4
234,70,69,M,70,4
235,70,69,M,69,4
236,70,69,F,69,4
237,70,69,M,70,6
238,70,69,M,68.7,6
239,70,69,F,68,6
240,70,69,F,66,6
241,70,69,F,64,6
242,70,69,F,62,6
243,70,68,M,75,1
244,70,67,M,70,5
245,70,67,M,69,5
246,70,67,F,66,5
247,70,67,F,64,5
248,70,67,F,60,5
249,70,67,F,67.5,1
250,70,66.5,M,73,11
251,70,66.5,M,72,11
252,70,66.5,M,72,11
253,70,66.5,M,66.5,11
254,70,66.5,F,69.2,11
255,70,66.5,F,67.2,11
256,70,66.5,F,66.5,11
257,70,66.5,F,66,11
258,70,66.5,F,66,11
259,70,66.5,F,64.2,11
260,70,66.5,F,63.7,11
261,70.5,65,M,72,4
262,70.5,65,M,70.2,4
263,70.5,65,M,69,4
264,70.5,65,M,68.5,4
265,70.5,65,F,68,5
266,70.5,65,F,65,5
267,70.5,65,F,61.5,5
268,70.5,65,F,61,5
269,70.5,65,F,61,5
270,70,65,M,73,8
271,70,65,M,72,8
272,70,65,M,70.5,8
273,70,65,M,65,8
274,70,65,M,65,8
275,70,65,F,64.5,8
276,70,65,F,63,8
277,70,65,F,62,8
278,70,65,M,67,5
279,70,65,M,65,5
280,70,65,F,64.5,5
281,70,65,F,62.5,5
282,70,65,F,62.5,5
283,70,65,M,70,6
284,70,65,M,70,6
285,70,65,F,67,6
286,70,65,F,65,6
287,70,65,F,65,6
288,70,65,F,63,6
289,70,65,M,79,7
290,70,65,M,75,7
291,70,65,M,71,7
292,70,65,F,69,7
293,70,65,F,67,7
294,70,65,F,65.7,7
295,70,65,F,62,7
296,70,65,M,73,3
297,70,65,M,72.5,3
298,70,65,F,65,3
299,70,65,M,69,2
300,70,65,M,69,2
301,70,64.7,M,72,7
302,70,64.7,M,70,7
303,70,64.7,M,68.7,7
304,70,64.7,F,66.5,7
305,70,64.7,F,65.5,7
306,70,64.7,F,64.7,7
307,70,64.7,F,64.5,7
308,70,64,M,70.7,7
309,70,64,M,70,7
310,70,64,M,68,7
311,70,64,M,67,7
312,70,64,M,66,7
313,70,64,M,65,7
314,70,64,F,67,7
315,70,64,M,70,4
316,70,64,M,68,4
317,70,64,M,66.7,4
318,70,64,F,65.5,4
319,70,64.2,M,72,5
320,70,64.2,M,70,5
321,70,64.2,F,62.5,5
322,70,64.2,F,61.2,5
323,70,64.2,F,60.1,5
324,70.5,64,M,74,8
325,70.5,64,M,69.5,8
326,70.5,64,M,69,8
327,70.5,64,M,68,8
328,70.5,64,M,68,8
329,70.5,64,M,68,8
330,70.5,64,F,65.5,8
331,70.5,64,F,65,8
332,70.5,64.5,F,60,1
333,70,64,M,68,4
334,70,64,F,65,4
335,70,64,F,64,4
336,70,64,F,62,4
337,70,64,M,71,9
338,70,64,M,70,9
339,70,64,M,70,9
340,70,64,M,70,9
341,70,64,M,69.5,9
342,70,64,M,68.5,9
343,70,64,F,69,9
344,70,64,F,65,9
345,70,64,F,64,9
346,70,63.7,M,70,8
347,70,63.7,M,67,8
348,70,63.7,M,65.5,8
349,70,63.7,F,63.7,8
350,70,63.7,F,63.2,8
351,70,63.7,F,62.5,8
352,70,63.7,F,62.2,8
353,70,63.7,F,61,8
354,70.5,63,M,72.5,5
355,70.5,63,M,69,5
356,70.5,63,M,67,5
357,70.5,63,F,64.5,5
358,70.5,63,F,64,5
359,70,63.5,M,71,4
360,70,63.5,M,67.5,4
361,70,63.5,F,67.5,4
362,70,63.5,F,63.5,4
363,70,63,M,68,4
364,70,63,M,67,4
365,70,63,F,63.7,4
366,70,63,F,62,4
367,70,63,M,70,4
368,70,63,M,66.5,4
369,70,63,F,62,4
370,70,63,F,61,4
371,70.5,62,M,72,8
372,70.5,62,M,70,8
373,70.5,62,M,69.5,8
374,70.5,62,M,69.5,8
375,70.5,62,M,68,8
376,70.5,62,F,65,8
377,70.5,62,F,64,8
378,70.5,62,F,63,8
379,70.3,62.7,M,70.7,7
380,70.3,62.7,M,69.7,7
381,70.3,62.7,M,69.2,7
382,70.3,62.7,M,65.2,7
383,70.3,62.7,F,64,7
384,70.3,62.7,F,63.5,7
385,70.3,62.7,F,63.2,7
386,70.5,62,M,72,3
387,70.5,62,M,72,3
388,70.5,62,F,60,3
389,70,61,M,71.2,2
390,70,61,M,67,2
391,70,60,M,67,4
392,70,60,M,64.5,4
393,70,60,F,65,4
394,70,60,F,63,4
395,70,60,F,65,2
396,70,60,F,65,2
397,70,58.5,M,71.5,3
398,70,58.5,M,64.5,3
399,70,58.5,F,63,3
400,70,58,M,72,5
401,70,58,M,66,5
402,70,58,F,66,5
403,70,58,F,65,5
404,70,58,F,63,5
405,69,68.5,M,75,10
406,69,68.5,M,71,10
407,69,68.5,M,70,10
408,69,68.5,F,66,10
409,69,68.5,F,66,10
410,69,68.5,F,65.5,10
411,69,68.5,F,65,10
412,69,68.5,F,65,10
413,69,68.5,F,64,10
414,69,68.5,F,64,10
415,69,67,F,64,1
416,69,66,M,73,8
417,69,66,M,72,8
418,69,66,M,71.7,8
419,69,66,M,71.5,8
420,69,66,F,65.5,8
421,69,66,F,65,8
422,69,66,F,62.7,8
423,69,66,F,62.5,8
424,69,66,M,71.2,3
425,69,66,M,71,3
426,69,66,M,70,3
427,69,66.7,M,75,6
428,69,66.7,M,74,6
429,69,66.7,M,72,6
430,69,66.7,M,68.5,6
431,69,66.7,M,67,6
432,69,66.7,M,66,6
433,69,66,M,70,6
434,69,66,M,68.5,6
435,69,66,M,68,6
436,69,66,F,65,6
437,69,66,F,63,6
438,69,66,F,62.5,6
439,69,66.5,M,73,5
440,69,66.5,M,71,5
441,69,66.5,M,70.5,5
442,69,66.5,M,70.5,5
443,69,66.5,F,61,5
444,69.5,66.5,M,70.5,4
445,69.5,66.5,M,67.5,4
446,69.5,66.5,F,64.5,4
447,69.5,66.5,F,64,4
448,69,66.5,M,71,6
449,69,66.5,F,68.5,6
450,69,66.5,F,67.5,6
451,69,66.5,F,66,6
452,69,66.5,F,63,6
453,69,66.5,F,63,6
454,69.5,66,M,71,7
455,69.5,66,M,71,7
456,69.5,66,M,70.5,7
457,69.5,66,M,70.5,7
458,69.5,66,F,66.5,7
459,69.5,66,F,65.5,7
460,69.5,66,F,64.5,7
461,69,66,M,73,9
462,69,66,M,72,9
463,69,66,M,69,9
464,69,66,M,69,9
465,69,66,F,66.5,9
466,69,66,F,65.5,9
467,69,66,F,65.5,9
468,69,66,F,65,9
469,69,66,F,64,9
470,69,65,M,70,7
471,69,65,M,68.5,7
472,69,65,M,67,7
473,69,65,F,65,7
474,69,65,F,64,7
475,69,65,F,63.5,7
476,69,65,F,61,7
477,69.5,64.5,M,69.7,7
478,69.5,64.5,M,68,7
479,69.5,64.5,M,60,7
480,69.5,64.5,F,65.2,7
481,69.5,64.5,F,64.5,7
482,69.5,64.5,F,63.7,7
483,69.5,64.5,F,60,7
484,69.2,64,M,71.7,4
485,69.2,64,M,66.5,4
486,69.2,64,F,65,4
487,69.2,64,F,63.5,4
488,69,63,M,69,3
489,69,63,F,67.5,3
490,69,63,F,63.5,3
491,69,63,M,72,1
492,69,63,M,73,6
493,69,63,M,70,6
494,69,63,M,70,6
495,69,63,M,64,6
496,69,63,F,66,6
497,69,63,F,62,6
498,69,63.5,M,70.5,7
499,69,63.5,M,67,7
500,69,63.5,M,66,7
501,69,63.5,F,65,7
502,69,63.5,F,63,7
503,69,63.5,F,62,7
504,69,63.5,F,61,7
505,69,63.5,M,70.5,3
506,69,63.5,F,63.7,3
507,69,63.5,F,63,3
508,69.7,62,F,62.5,1
509,69.5,62,M,73,3
510,69.5,62,M,72,3
511,69.5,62,M,69,3
512,69,62,M,73,5
513,69,62,M,71,5
514,69,62,M,71,5
515,69,62,M,69,5
516,69,62,F,63,5
517,69,62.5,M,71,8
518,69,62.5,M,70,8
519,69,62.5,M,70,8
520,69,62.5,M,69,8
521,69,62.5,F,63.5,8
522,69,62.5,F,62.5,8
523,69,62.5,F,62.5,8
524,69,62.5,F,62,8
525,69,62,M,72,4
526,69,62,M,68,4
527,69,62,F,66,4
528,69,62,F,66,4
529,69.5,61,M,70,5
530,69.5,61,M,69.5,5
531,69.5,61,M,69,5
532,69.5,61,F,63,5
533,69.5,61,F,62,5
534,69,61,M,68,9
535,69,61,M,68,9
536,69,61,M,67.5,9
537,69,61,M,64,9
538,69,61,M,63,9
539,69,61,M,63,9
540,69,61,F,63.5,9
541,69,61,F,62,9
542,69,61,F,62,9
543,69,60,M,70.5,3
544,69,60,F,68,3
545,69,60,F,62.5,3
546,69,60,M,69,4
547,69,60,M,66,4
548,69,60,F,61.7,4
549,69,60,F,60.5,4
550,69,60.5,M,69.5,1
551,68.7,70.5,M,71,2
552,68.7,70.5,F,61.7,2
553,68.5,67,M,73,3
554,68.5,67,M,71,3
555,68.5,67,F,67,3
556,68.5,66.5,M,70,11
557,68.5,66.5,M,69,11
558,68.5,66.5,M,69,11
559,68.5,66.5,M,68.7,11
560,68.5,66.5,M,68.5,11
561,68.5,66.5,M,68.5,11
562,68.5,66.5,M,68,11
563,68.5,66.5,M,68,11
564,68.5,66.5,M,68,11
565,68.5,66.5,F,63.2,11
566,68,65,M,67.5,2
567,68,65,M,66,2
568,68,65.5,M,66,2
569,68,65.5,F,64,2
570,68,65.5,M,71.7,7
571,68,65.5,M,71.5,7
572,68,65.5,M,70.7,7
573,68,65.5,M,65.5,7
574,68,65.5,F,66.5,7
575,68,65.5,F,65.2,7
576,68,65.5,F,61.5,7
577,68,65,M,72,4
578,68,65,M,72,4
579,68,65,F,68,4
580,68,65,F,66,4
581,68.5,65,M,69.2,8
582,68.5,65,M,68,8
583,68.5,65,M,66,8
584,68.5,65,M,66,8
585,68.5,65,F,62,8
586,68.5,65,F,61.5,8
587,68.5,65,F,61,8
588,68.5,65,F,60,8
589,68,64,M,71,10
590,68,64,M,68,10
591,68,64,M,68,10
592,68,64,M,67,10
593,68,64,F,65,10
594,68,64,F,64,10
595,68,64,F,63,10
596,68,64,F,63,10
597,68,64,F,62,10
598,68,64,F,61,10
599,68,64,M,66,4
600,68,64,M,63,4
601,68,64,F,65.5,4
602,68,64,F,62,4
603,68,64,M,71.2,5
604,68,64,M,71.2,5
605,68,64,M,69,5
606,68,64,M,68.5,5
607,68,64,F,62.5,5
608,68,64.5,F,62,1
609,68,64,M,69,10
610,68,64,M,67,10
611,68,64,M,66,10
612,68,64,F,66,10
613,68,64,F,66,10
614,68,64,F,65,10
615,68,64,F,65,10
616,68,64,F,65,10
617,68,64,F,64,10
618,68,64,F,63,10
619,68,63,M,70.5,8
620,68,63,M,70,8
621,68,63,M,68,8
622,68,63,M,66,8
623,68,63,M,66,8
624,68,63,F,66,8
625,68,63,F,62,8
626,68,63,F,61.5,8
627,68.5,63.5,M,73.5,4
628,68.5,63.5,M,70,4
629,68.5,63.5,M,69.5,4
630,68.5,63.5,F,65.5,4
631,68,63,M,67,1
632,68,63,M,70,4
633,68,63,M,68,4
634,68,63,F,64.5,4
635,68,63,F,64,4
636,68,63,M,71,8
637,68,63,M,68,8
638,68,63,M,66,8
639,68,63,M,65.5,8
640,68,63,M,65,8
641,68,63,F,63,8
642,68,63,F,62,8
643,68,63,F,62,8
644,68,63,M,67,6
645,68,63,M,67,6
646,68,63,M,66,6
647,68,63,F,64,6
648,68,63,F,63.5,6
649,68,63,F,61,6
650,68.5,63.5,M,68.2,1
651,68,63,M,70,1
652,68.2,63.5,M,70,5
653,68.2,63.5,M,69,5
654,68.2,63.5,M,67,5
655,68.2,63.5,M,65.5,5
656,68.2,63.5,F,64.5,5
657,68,62.5,M,68.5,1
658,68.7,62,M,67.7,2
659,68.7,62,F,61.7,2
660,68,62.5,M,66.5,1
661,68,61,M,68.5,5
662,68,61,M,68,5
663,68,61,M,64,5
664,68,61,F,63.5,5
665,68,61,F,63,5
666,68,60.2,M,66.7,1
667,68,60,M,64,7
668,68,60,F,61,7
669,68,60,F,61,7
670,68,60,F,60,7
671,68,60,F,60,7
672,68,60,F,60,7
673,68,60,F,56,7
674,68,60,M,67.5,4
675,68,60,M,67,4
676,68,60,M,66.5,4
677,68,60,F,60,4
678,68.5,59,M,69,1
679,68,59,M,68,10
680,68,59,M,65,10
681,68,59,M,64.7,10
682,68,59,M,64,10
683,68,59,M,64,10
684,68,59,M,63,10
685,68,59,F,65,10
686,68,59,F,65,10
687,68,59,F,62,10
688,68,59,F,61,10
689,67,66.2,M,72.7,5
690,67,66.2,M,72.7,5
691,67,66.2,M,71.5,5
692,67,66.2,F,65.5,5
693,67,66.2,F,63.5,5
694,67,66.5,M,71,1
695,67,65,M,69.7,6
696,67,65,M,67.5,6
697,67,65,F,65.5,6
698,67,65,F,65,6
699,67,65,F,64.5,6
700,67,65,F,63.5,6
701,67,65.5,M,70,5
702,67,65.5,M,69,5
703,67,65.5,F,65.5,5
704,67,65.5,F,65.5,5
705,67,65.5,F,63,5
706,67,65.5,M,70,4
707,67,65.5,M,67.7,4
708,67,65.5,F,63,4
709,67,65.5,F,60,4
710,67,65,M,65,3
711,67,65,F,62,3
712,67,65,F,62,3
713,67.5,65,M,71,11
714,67.5,65,M,69,11
715,67.5,65,F,64,11
716,67.5,65,F,64,11
717,67.5,65,F,63,11
718,67.5,65,F,63,11
719,67.5,65,F,63,11
720,67.5,65,F,63,11
721,67.5,65,F,63,11
722,67.5,65,F,62.5,11
723,67.5,65,F,62,11
724,67,64,M,71.5,4
725,67,64,M,70,4
726,67,64,M,67,4
727,67,64,M,67,4
728,67,63.5,M,71,8
729,67,63.5,M,70.2,8
730,67,63.5,M,69.2,8
731,67,63.5,M,68.5,8
732,67,63.5,M,68,8
733,67,63.5,M,67,8
734,67,63.5,M,65.5,8
735,67,63.5,F,63.5,8
736,67,63,M,69,3
737,67,63,M,68,3
738,67,63,F,63,3
739,67.5,62,M,70,5
740,67.5,62,M,69.5,5
741,67.5,62,M,69,5
742,67.5,62,M,68.5,5
743,67.5,62,F,66,5
744,67,61,M,67,1
745,66,67,M,70.5,8
746,66,67,M,70.5,8
747,66,67,M,67,8
748,66,67,M,66,8
749,66,67,M,66,8
750,66,67,F,62,8
751,66,67,F,62,8
752,66,67,F,61.5,8
753,66,67,M,72,9
754,66,67,M,65,9
755,66,67,M,65,9
756,66,67,F,67,9
757,66,67,F,64,9
758,66,67,F,64,9
759,66,67,F,62,9
760,66,67,F,60,9
761,66,67,F,60,9
762,66,66,M,66,5
763,66,66,M,65,5
764,66,66,F,67,5
765,66,66,F,66.5,5
766,66,66,F,65.5,5
767,66,66,M,72,6
768,66,66,M,68,6
769,66,66,F,66,6
770,66,66,F,65,6
771,66,66,F,62,6
772,66,66,F,61,6
773,66.5,65,M,68.7,8
774,66.5,65,M,68.5,8
775,66.5,65,M,66.5,8
776,66.5,65,M,64.5,8
777,66.5,65,F,62.5,8
778,66.5,65,F,60.5,8
779,66.5,65,F,60.5,8
780,66.5,65,F,57.5,8
781,66,65.5,M,72,5
782,66,65.5,M,71,5
783,66,65.5,M,67,5
784,66,65.5,F,66,5
785,66,65.5,F,65,5
786,66,63,M,70,1
787,66,63.5,F,64.5,2
788,66,63.5,F,62,2
789,66.5,63,M,67.2,6
790,66.5,63,M,67,6
791,66.5,63,M,65,6
792,66.5,63,F,65,6
793,66.5,63,F,65,6
794,66.5,63,F,63,6
795,66.5,62.5,M,70,7
796,66.5,62.5,M,68,7
797,66.5,62.5,F,63.5,7
798,66.5,62.5,F,62.5,7
799,66.5,62.5,F,62.5,7
800,66.5,62.5,F,62.5,7
801,66.5,62.5,F,62.5,7
802,66,61.5,M,70,1
803,66,60,M,68,4
804,66,60,M,67,4
805,66,60,M,65,4
806,66,60,F,60,4
807,66,60,M,65,1
808,66,59,M,68,15
809,66,59,M,67,15
810,66,59,M,66.5,15
811,66,59,M,66,15
812,66,59,M,65.7,15
813,66,59,M,65.5,15
814,66,59,M,65,15
815,66,59,F,65,15
816,66,59,F,64,15
817,66,59,F,63,15
818,66,59,F,62,15
819,66,59,F,61,15
820,66,59,F,60,15
821,66,59,F,58,15
822,66,59,F,57,15
823,65,67,M,66.5,4
824,65,67,M,66,4
825,65,67,M,66,4
826,65,67,F,65,4
827,65,67,F,63,1
828,65,66,M,63,4
829,65,66,F,63,4
830,65,66,F,63,4
831,65,66,F,60,4
832,65,65,M,69,9
833,65,65,M,68,9
834,65,65,M,68,9
835,65,65,F,65,9
836,65,65,F,65,9
837,65,65,F,62,9
838,65,65,F,62,9
839,65,65,F,61,9
840,65,65,F,59,9
841,65,65.5,M,70.7,2
842,65,65.5,F,65.5,2
843,65,65,M,69.2,6
844,65,65,M,69,6
845,65,65,M,68,6
846,65,65,M,67.7,6
847,65,65,F,64.5,6
848,65,65,F,60.5,6
849,65,64,M,67,6
850,65,64,M,67,6
851,65,64,F,64,6
852,65,64,F,64,6
853,65,64,F,62.5,6
854,65,64,F,60.5,6
855,65,63,M,70,2
856,65,63,F,63,2
857,65,63,M,66,3
858,65,63,M,66,3
859,65,63,F,63,3
860,65.5,63,M,71,4
861,65.5,63,M,71,4
862,65.5,63,M,69,4
863,65.5,63,F,63.5,4
864,65.5,60,M,68,5
865,65.5,60,M,68,5
866,65.5,60,M,67,5
867,65.5,60,M,67,5
868,65.5,60,F,62,5
869,64,64,M,71.5,7
870,64,64,M,68,7
871,64,64,F,65.5,7
872,64,64,F,64,7
873,64,64,F,62,7
874,64,64,F,62,7
875,64,64,F,61,7
876,64,64,M,70.5,7
877,64,64,M,68,7
878,64,64,F,67,7
879,64,64,F,65,7
880,64,64,F,64,7
881,64,64,F,64,7
882,64,64,F,60,7
883,64,63,M,64.5,1
884,64,60,M,66,2
885,64,60,F,60,2
886,62,66,M,64,3
887,62,66,F,62,3
888,62,66,F,61,3
889,62.5,63,M,66.5,2
890,62.5,63,F,57,2
891,68.5,65,M,72,8
892,68.5,65,M,70.5,8
893,68.5,65,M,68.7,8
894,68.5,65,M,68.5,8
895,68.5,65,M,67.7,8
896,68.5,65,F,64,8
897,68.5,65,F,63.5,8
898,68.5,65,F,63,8
